Operador;Tipo Pausa;Fecha inicio;Fecha_fin
LRIOS;administrativo;2022-12-22 12:51:31;2022-12-22 12:52:29
ndelaoliva;administrativo;2022-12-22 12:53:33;2022-12-22 12:55:48
CCACERES;administrativo;2022-12-22 12:53:36;2022-12-22 12:56:37
NCORONEL;administrativo;2022-12-22 12:53:37;2022-12-22 12:56:20
CFERREYRA;administrativo;2022-12-22 12:54:54;2022-12-22 13:02:27
ndelaoliva;descanso;2022-12-22 13:00:36;2022-12-22 13:15:10
tdacunha;descanso;2022-12-22 13:01:41;2022-12-22 13:17:50
cbaez;descanso;2022-12-22 13:01:42;2022-12-22 13:17:20
ASAMANIEGO;administrativo;2022-12-22 13:02:47;2022-12-22 13:03:47
MERASO;administrativo;2022-12-22 13:02:57;2022-12-22 13:05:31
CFERREYRA;administrativo;2022-12-22 13:03:20;2022-12-22 13:04:33
martinezc;descanso;2022-12-22 13:03:33;2022-12-22 13:18:08
clara;baño;2022-12-22 13:04:40;2022-12-22 13:04:44
CFERREYRA;administrativo;2022-12-22 13:05:02;2022-12-22 13:10:12
NSILVERO;descanso;2022-12-22 13:06:12;2022-12-22 13:20:04
TSOTELO;descanso;2022-12-22 13:06:24;
TSOTELO;descanso;2022-12-22 13:06:25;2022-12-22 13:20:59
AREYES;descanso;2022-12-22 13:06:41;2022-12-22 13:20:31
clara;baño;2022-12-22 13:10:39;2022-12-22 13:22:01
LRIOS;administrativo;2022-12-22 13:10:41;2022-12-22 13:13:16
CFERREYRA;administrativo;2022-12-22 13:11:11;2022-12-22 13:11:39
CFERREYRA;administrativo;2022-12-22 13:14:14;2022-12-22 13:16:27
renafer;descanso;2022-12-22 13:14:19;2022-12-22 13:28:42
CFERREYRA;administrativo;2022-12-22 13:16:30;2022-12-22 13:34:21
LRIOS;administrativo;2022-12-22 13:16:31;2022-12-22 13:33:55
clara;baño;2022-12-22 13:22:03;2022-12-22 13:37:54
NCORONEL;administrativo;2022-12-22 13:22:13;2022-12-22 13:24:29
ASAMANIEGO;descanso;2022-12-22 13:22:33;2022-12-22 13:31:01
ldaiana;descanso;2022-12-22 13:22:56;2022-12-22 13:37:53
MERASO;administrativo;2022-12-22 13:24:00;2022-12-22 13:31:09
VZAPATA;descanso;2022-12-22 13:27:26;2022-12-22 13:34:13
CSUAREZ;administrativo;2022-12-22 13:29:16;2022-12-22 13:33:40
Gcami;descanso;2022-12-22 13:31:51;2022-12-22 13:47:13
MMAIDANA;descanso;2022-12-22 13:33:59;2022-12-22 13:48:41
ASAMANIEGO;descanso;2022-12-22 13:36:00;2022-12-22 13:49:00
